ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.port
1,0,,,,57,6,65536,1305,8984,0,2,0,16,0.007322000,,,,,8.387548000,0.007322000,0.565588000,0.007322000,443
1,0,,,,57,6,65536,1305,8984,306,2,0,24,,,,,,8.448480000,0.060932000,0.626520000,0.060932000,443
1,0,,,,64,6,64128,9290,1305,70,2,0,24,0.000651000,,,,,8.449131000,0.000651000,0.627171000,0.000651000,49834
1,0,,,,57,6,65536,1375,9290,0,2,0,16,0.007294000,,,,,8.456425000,0.007294000,0.634465000,0.007294000,443
1,0,,,,57,6,65536,1375,9290,811,2,0,24,,,,,,8.513745000,0.057320000,0.691785000,0.057320000,443
1,0,,,,57,6,65536,1375,10101,31,2,0,24,,,,,,8.513746000,0.000001000,0.691786000,0.000001000,443
1,0,,,,64,6,64128,10132,1375,0,2,0,16,0.000279000,,,,,8.514025000,0.000279000,0.692065000,0.000279000,49834
0,0,,,,64,17,,,,,,,,,,,,60609,8.515022000,0.000997000,,,
0,0,,,,64,17,,,,,,,,,,,,44989,8.515067000,0.000045000,,,
1,0,,,,64,6,64240,0,0,0,3,0,2,,,,,,8.515534000,0.000467000,0.000000000,0.000000000,48218
1,0,,,,64,17,,,,,,,,,,,,53,8.518690000,0.003156000,,,
1,0,,,,64,17,,,,,,,,,,,,53,8.519413000,0.000723000,,,
1,0,,,,56,6,65535,1,0,0,3,0,18,0.020487000,,,,,8.536021000,0.016608000,0.020487000,0.020487000,443
1,0,,,,64,6,64256,1,1,0,3,0,16,0.000076000,,,,,8.536097000,0.000076000,0.020563000,0.000076000,48218
1,0,,,,64,6,64256,1,1,517,3,0,24,,,,,,8.537255000,0.001158000,0.021721000,0.001158000,48218
1,0,,,,56,6,145920,518,1,0,3,0,16,0.020442000,,,,,8.557697000,0.020442000,0.042163000,0.020442000,443
1,0,,,,56,6,145920,518,1,2800,3,0,24,,,,,,8.560910000,0.003213000,0.045376000,0.003213000,443
1,0,,,,56,6,145920,518,2801,989,3,0,24,,1,3072,,,8.560911000,0.000001000,0.045377000,0.000001000,443
1,0,,,,64,6,63488,2801,518,0,3,0,16,0.000057000,,,,,8.560967000,0.000056000,0.045433000,0.000056000,48218
1,0,,,,64,6,62720,3790,518,0,3,0,16,0.000080000,,,,,8.560991000,0.000024000,0.045457000,0.000024000,48218
1,0,,,,64,6,62720,3790,518,64,3,0,24,,,,,,8.564700000,0.003709000,0.049166000,0.003709000,48218
1,0,,,,64,6,62720,3790,582,86,3,0,24,,,,,,8.564860000,0.000160000,0.049326000,0.000160000,48218
1,0,,,,64,6,64128,3790,668,125,3,0,24,,,,,,8.570259000,0.005399000,0.054725000,0.005399000,48218
1,0,,,,56,6,145920,582,3790,0,3,0,16,0.020306000,,,,,8.585006000,0.014747000,0.069472000,0.014747000,443
1,0,,,,56,6,145920,668,3790,0,3,0,16,0.020147000,,,,,8.585007000,0.000001000,0.069473000,0.000001000,443
1,0,,,,56,6,145920,668,3790,59,3,0,24,,,,,,8.585212000,0.000205000,0.069678000,0.000205000,443
1,0,,,,64,6,64128,3849,793,31,3,0,24,0.000208000,,,,,8.585420000,0.000208000,0.069886000,0.000208000,48218
1,0,,,,56,6,145920,793,3849,0,3,0,16,0.020704000,,,,,8.590963000,0.005543000,0.075429000,0.005543000,443
1,0,,,,56,6,145920,793,3849,264,3,0,24,,,,,,8.594300000,0.003337000,0.078766000,0.003337000,443
0,0,,,,64,17,,,,,,,,,,,,44290,8.595289000,0.000989000,,,
0,0,,,,64,17,,,,,,,,,,,,37627,8.595343000,0.000054000,,,
1,0,,,,64,6,64240,0,0,0,4,0,2,,,,,,8.595993000,0.000650000,0.000000000,0.000000000,48230
1,0,,,,64,17,,,,,,,,,,,,53,8.598748000,0.002755000,,,
1,0,,,,64,17,,,,,,,,,,,,53,8.599584000,0.000836000,,,
1,0,,,,56,6,145920,824,4113,0,3,0,16,0.020358000,,,,,8.605778000,0.006194000,0.090244000,0.011478000,443
1,0,,,,56,6,65535,1,0,0,4,0,18,0.025745000,,,,,8.621738000,0.015960000,0.025745000,0.025745000,443
1,0,,,,64,6,64256,1,1,0,4,0,16,0.000029000,,,,,8.621767000,0.000029000,0.025774000,0.000029000,48230
1,0,,,,64,6,64256,1,1,517,4,0,24,,,,,,8.622967000,0.001200000,0.026974000,0.001200000,48230
1,0,,,,64,6,64128,4113,824,0,3,0,16,0.042945000,,,,,8.637245000,0.014278000,0.121711000,0.031467000,48218
1,0,,,,56,6,145920,518,1,0,4,0,16,0.026208000,,,,,8.649175000,0.011930000,0.053182000,0.026208000,443
1,0,,,,56,6,145920,518,1,2800,4,0,24,,,,,,8.651156000,0.001981000,0.055163000,0.001981000,443
1,0,,,,56,6,145920,518,2801,989,4,0,24,,1,3072,,,8.651157000,0.000001000,0.055164000,0.000001000,443
1,0,,,,64,6,63488,2801,518,0,4,0,16,0.000025000,,,,,8.651181000,0.000024000,0.055188000,0.000024000,48230
1,0,,,,64,6,62720,3790,518,0,4,0,16,0.000038000,,,,,8.651195000,0.000014000,0.055202000,0.000014000,48230
1,0,,,,64,6,62720,3790,518,64,4,0,24,,,,,,8.654118000,0.002923000,0.058125000,0.002923000,48230
1,0,,,,64,6,62720,3790,582,86,4,0,24,,,,,,8.654267000,0.000149000,0.058274000,0.000149000,48230
1,0,,,,64,6,64128,3790,668,131,4,0,24,,,,,,8.660323000,0.006056000,0.064330000,0.006056000,48230
1,0,,,,56,6,145920,582,3790,0,4,0,16,0.026372000,,,,,8.680490000,0.020167000,0.084497000,0.020167000,443
1,0,,,,56,6,145920,668,3790,0,4,0,16,0.026224000,,,,,8.680491000,0.000001000,0.084498000,0.000001000,443
1,0,,,,56,6,145920,668,3790,59,4,0,24,,,,,,8.680493000,0.000002000,0.084500000,0.000002000,443
1,0,,,,64,6,64128,3849,799,31,4,0,24,0.000278000,,,,,8.680771000,0.000278000,0.084778000,0.000278000,48230
1,0,,,,56,6,146944,799,3849,0,4,0,16,0.025873000,,,,,8.686196000,0.005425000,0.090203000,0.005425000,443
1,0,,,,56,6,146944,799,3849,266,4,0,24,,,,,,8.688948000,0.002752000,0.092955000,0.002752000,443
1,0,,,,64,6,64128,4115,830,72,4,0,24,0.000508000,,,,,8.689456000,0.000508000,0.093463000,0.000508000,48230
1,0,,,,56,6,146944,830,4115,0,4,0,16,0.026353000,,,,,8.707124000,0.017668000,0.111131000,0.017668000,443
1,0,,,,56,6,146944,902,4115,0,4,0,16,0.025885000,,,,,8.715341000,0.008217000,0.119348000,0.008217000,443
1,0,,,,56,6,146944,902,4115,2800,4,0,24,,,,,,8.717452000,0.002111000,0.121459000,0.002111000,443
1,0,,,,56,6,146944,902,6915,1400,4,0,16,,,,,,8.717453000,0.000001000,0.121460000,0.000001000,443
1,0,,,,56,6,146944,902,8315,1400,4,0,24,,,,,,8.717545000,0.000092000,0.121552000,0.000092000,443
1,0,,,,64,6,61568,9715,902,0,4,0,16,0.000054000,,,,,8.717599000,0.000054000,0.121606000,0.000054000,48230
1,0,,,,56,6,146944,902,9715,2800,4,0,24,,,,,,8.717762000,0.000163000,0.121769000,0.000163000,443
1,0,,,,64,6,63488,12515,902,0,4,0,16,0.000077000,,,,,8.717839000,0.000077000,0.121846000,0.000077000,48230
1,0,,,,56,6,146944,902,12515,1463,4,0,24,,,,,,8.718362000,0.000523000,0.122369000,0.000523000,443
1,0,,,,64,6,64000,13978,902,0,4,0,16,0.000040000,,,,,8.718402000,0.000040000,0.122409000,0.000040000,48230
0,0,,,,64,17,,,,,,,,,,,,43747,8.719956000,0.001554000,,,
1,0,,,,64,6,64240,0,0,0,5,0,2,,,,,,8.720296000,0.000340000,0.000000000,0.000000000,33318
1,0,,,,64,17,,,,,,,,,,,,53,8.721480000,0.001184000,,,
1,0,,,,45,6,65160,1,0,0,5,0,18,0.089071000,,,,,8.809367000,0.087887000,0.089071000,0.089071000,443
1,0,,,,64,6,64256,1,1,0,5,0,16,0.000058000,,,,,8.809425000,0.000058000,0.089129000,0.000058000,33318
1,0,,,,64,6,64256,1,1,517,5,0,24,,,,,,8.810615000,0.001190000,0.090319000,0.001190000,33318
1,0,,,,45,6,65536,518,1,0,5,0,16,0.089149000,,,,,8.899764000,0.089149000,0.179468000,0.089149000,443
1,0,,,,45,6,65536,518,1,1400,5,0,16,,,,,,8.900683000,0.000919000,0.180387000,0.000919000,443
1,0,,,,64,6,64128,1401,518,0,5,0,16,0.000025000,,,,,8.900708000,0.000025000,0.180412000,0.000025000,33318
1,0,,,,45,6,65536,518,1401,1400,5,0,24,,,,,,8.900816000,0.000108000,0.180520000,0.000108000,443
1,0,,,,45,6,65536,518,2801,1296,5,0,24,,,,,,8.900817000,0.000001000,0.180521000,0.000001000,443
1,0,,,,64,6,63488,2801,518,0,5,0,16,0.000013000,,,,,8.900829000,0.000012000,0.180533000,0.000012000,33318
1,0,,,,64,6,62592,4097,518,0,5,0,16,0.000020000,,,,,8.900837000,0.000008000,0.180541000,0.000008000,33318
1,0,,,,45,6,65536,518,4097,1071,5,0,24,,1,4643,,,8.901935000,0.001098000,0.181639000,0.001098000,443
1,0,,,,64,6,64128,5168,518,0,5,0,16,0.000011000,,,,,8.901946000,0.000011000,0.181650000,0.000011000,33318
1,0,,,,64,6,64128,5168,518,64,5,0,24,,,,,,8.903913000,0.001967000,0.183617000,0.001967000,33318
1,0,,,,64,6,64128,5168,582,231,5,0,24,,,,,,8.904080000,0.000167000,0.183784000,0.000167000,33318
1,0,,,,45,6,65536,582,5168,0,5,0,16,0.088556000,,,,,8.992469000,0.088389000,0.272173000,0.088389000,443
1,0,,,,45,6,65536,582,5168,287,5,0,24,,,,,,8.992470000,0.000001000,0.272174000,0.000001000,443
1,0,,,,45,6,65536,582,5455,287,5,0,24,,,,,,8.992756000,0.000286000,0.272460000,0.000286000,443
